"Name","State","Notes","User","Tags","Created","Runtime","Sweep","E","alpha","del_rate","dn_rate","dup_rate","edge_rate","elite_size","exp_type","gens","nenv","node_cost","pop_size","proj","rep","season_length","average_fitness","average_grnsize","benefitial_mutation","deleterious_mutation","expression_robustness","fitness_robustness","gen","high","low","spec"
"D_500_10_5805f37ee","crashed","-","molanu","","2020-12-03T15:29:20.000Z","108005","","10","5","0.01","0.005","0.005","0.05","0","D_500_10_5","100000","2","0.0001","1000","GRN_evolution","2","500","0.89389000632","13.321","0.22226806579818256","0.7777319342018174","0.4524000000000001","0.48540000000000005","0","0","0","100"
"D_500_10_20752d4a83","crashed","-","molanu","","2020-12-03T15:29:19.000Z","108007","","10","20","0.01","0.005","0.005","0.05","0","D_500_10_20","100000","2","0.0001","1000","GRN_evolution","4","500","0.8619887961159998","7.949","0.149666945756342","0.8503330542436579","0.8055999999999999","0.8072","0","0","3","97"
"D_500_10_20a0d5e9e0","crashed","-","molanu","","2020-12-03T15:29:19.000Z","108006","","10","20","0.01","0.005","0.005","0.05","0","D_500_10_20","100000","2","0.0001","1000","GRN_evolution","3","500","0.8820768462409999","3.155","0.04585732043790516","0.9441426795620949","0.8334","0.8334","0","0","2","98"
"D_500_10_20cf665e90","crashed","-","molanu","","2020-12-03T15:29:18.000Z","107998","","10","20","0.01","0.005","0.005","0.05","0","D_500_10_20","100000","2","0.0001","1000","GRN_evolution","5","500","0.8833916796229998","6.896","0.2414675574959913","0.7585324425040089","0.7088000000000001","0.7222","0","0","0","100"
"D_200_30_50410cd4c","crashed","-","molanu","","2020-12-03T15:26:34.000Z","107975","","30","5","0.01","0.005","0.005","0.05","0","D_200_30_5","100000","2","0.0001","1000","GRN_evolution","5","200","0.2625053898841852","0.772","0.4226704462995782","0.5773295537004218","0.28700000000000003","0.29340000000000005","10","0","90","0"
"D_200_30_577aaf06d","crashed","-","molanu","","2020-12-03T15:26:34.000Z","107996","","30","5","0.01","0.005","0.005","0.05","0","D_200_30_5","100000","2","0.0001","1000","GRN_evolution","3","200","0.20558828143522223","0.395","0.5042097314996736","0.4957902685003263","0.23560000000000003","0.23920000000000005","0","0","100","0"
"D_200_30_5f22890a7","crashed","-","molanu","","2020-12-03T15:26:34.000Z","107979","","30","5","0.01","0.005","0.005","0.05","0","D_200_30_5","100000","2","0.0001","1000","GRN_evolution","4","200","0.6006223788548889","0.142","0.294413786704328","0.7055862132956721","0.1178","0.1228","0","0","100","0"
"D_500_10_1009558494","crashed","-","molanu","","2020-12-03T15:26:34.000Z","108004","","10","10","0.01","0.005","0.005","0.05","0","D_500_10_10","100000","2","0.0001","1000","GRN_evolution","5","500","0.7859515337159999","0.265","0.07554871953634724","0.9244512804636528","0.4416000000000001","0.445","0","0","15","85"
"D_500_10_2083a35fed","crashed","-","molanu","","2020-12-03T15:26:28.000Z","107990","","10","20","0.01","0.005","0.005","0.05","0","D_500_10_20","100000","2","0.0001","1000","GRN_evolution","1","500","0.10464373452200004","3.346","0.6799080764992276","0.3100919235007724","0.8498000000000002","0.8502000000000001","0","0","15","85"
"D_500_10_103d22c953","crashed","-","molanu","","2020-12-03T15:26:25.000Z","108006","","10","10","0.01","0.005","0.005","0.05","0","D_500_10_10","100000","2","0.0001","1000","GRN_evolution","4","500","0.8381506896979998","16.271","0.0401468253968254","0.9498531746031746","0.9072","0.9078000000000002","0","0","0","100"
"D_500_10_105126cd99","crashed","-","molanu","","2020-12-03T15:26:25.000Z","107985","","10","10","0.01","0.005","0.005","0.05","0","D_500_10_10","100000","2","0.0001","1000","GRN_evolution","2","500","0.939757332182","23.15","0.09203690753690752","0.9079630924630924","0.8660000000000001","0.872","0","0","0","100"
